Question,Answer 1,Answer 2,Answer 3,Answer 4,Time,Correct
Ps. Frank Ayisi serves in which nation?,Panama,Italy,Argentina,Indonesia,10,4
Who visited NYC in Dec 1989 from Ghana?,Apostle Ansong & Osei-Bonsu,Prophet M.K. Yeboah & Apostle Ato Addison,Chairman Nyamekye & IMD,Apostle Amoah & Rev. Mantey,10,2
Select the correct Region ? first church pair.,Washington Region — Los Angeles (Long Beach),Washington Region — Silver Spring Assembly,Washington Region — Atlanta Central Assembly,Washington Region — Houston Assembly,10,2
"According to Church Practices, what best describes 'Divine Healing'?",God heals; respect medical care,Outdated and optional,Reserved for leaders only,Mainly cultural tradition,10,4
Which event happened first (earliest)?,McKeown arrives in Gold Coast,Doctrinal split over healing,Ghana independence; Ghana Apostolic Church,'The Church of Pentecost' adopted,10,1
Aps. Sampson Ofori-Yiadom serves in which nation?,Italy,Argentina,Indonesia,Bahamas,10,2
Who is listed as the first Apostle of the COP?,Apostle Fred S. Safo,Apostle Dr. M.K. Ntumy,Apostle S.R. Asomaning,Apostle E.A. Owusu,10,3
"According to Church Practices, what best describes 'The Savior'?","Jesus Christ, God incarnate",Only symbolic and non-binding,Optional tradition with no authority,Limited to clergy decisions,10,2
Which is TRUE about weddings in COP?,They must be lavish,They are required on Sundays,They should be as simple as possible,They forbid vows,10,3
"Under Apostle E.A. Owusu, membership rose from…","8,783 to 16,121","3,808 to 8,783","1,114 to 3,808","16,121 to 26,029",10,4
Rings exchanged at COP weddings:,One ring,No rings,Two rings,Three rings,10,3
Where did worship move in 1989?,Third Ave & 165th St (Bronx),Queens Blvd,Long Island,Yonkers,10,1
What preceded the 1953 constitutional crisis?,1962 name adoption,1939 split over divine healing,1957 independence renaming,None of these,10,2
Which is NOT a duty of an Elder?,Leading in prayer and Word,Shepherding the flock,Counting money only,Teaching sound doctrine,10,3
Which event happened first (earliest)?,Doctrinal split over healing,McKeown arrives in Gold Coast,Gold Coast Apostolic Church founded,'The Church of Pentecost' adopted,10,2
How many regions are listed on Stats at a glance?,7,9,10,13,10,4
Who was National Head 2009–2016?,Apostle Albert Amoah,Apostle Osei-Bonsu,Apostle Dr. Emmanuel A. Owusu,Apostle Michael Amoako,10,3
Deductions at source before balancing books are…,Not encouraged,Required,Mandatory,Always used,10,1
"Per Good Conduct, Bible study should be…",Only on Sundays,For leaders only,Optional when busy,Diligent and regular,10,4
Which leaders visited NYC in Dec 1989?,Apostle Amoah & Rev. Mantey,Apostle Osei-Bonsu & Ansong,Prophet M.K. Yeboah & Apostle Ato Addison,Chairman Nyamekye & IMD,10,3
Which step was adopted during the 1989 visit?,Closure of New York Assembly,Move to Canada immediately,Merger with another church,Decision to send a Resident Missionary,10,4
"Per Admin Setup, which is the correct order?",Assembly ? District ? Region ? National,District ? National ? Assembly ? Region,Region ? District ? National ? Assembly,National ? Region ? Assembly ? District,10,1
"Per Good Conduct, who should tithe?",Pastors only,Every believer,Rich members only,Youth only,10,2
Who serves in US Virgin Island for COP-USA?,Pastor Godwin Ampofo,Aps. Sampson Ofori-Yiadom,Apostle Elvis Okyere,Aps. Dr. Mike George Portuphy,10,2
Who serves in Cuba for COP-USA?,Pastor Daniel Dompreh,Aps. Sampson Ofori-Yiadom,Apostle Elvis Okyere,Aps. Dr. Mike George Portuphy,10,4
"According to Church Practices, what best describes 'Baptism & Lord’s Supper'?",Baptism by immersion; Lord’s Supper for full members,Only symbolic and non-binding,Optional tradition with no authority,Limited to clergy decisions,10,3
