Question,Answer 1,Answer 2,Answer 3,Answer 4,Time,Correct
Officers appreciation is generally…,Always public parade,Not permitted,A surprise from members,Organized by officers & done decently,10,4
Ovr. Seth Appiah-Agyekum serves in which nation?,Bermuda,Italy,Argentina,Indonesia,10,2
NY building purchase price at 216th St was…,"$210,000","$350,000","$1,000,000","$710,000",10,4
Who pronounces vows at COP weddings?,Pastor only,Best man,Both Bride and Groom,Parents,10,3
Which statement is TRUE about prayer centers?,They can be opened by any member,They require prior NEC approval,Only youth boards may approve them,They are forbidden everywhere,10,2
Who serves in Bahamas for COP-USA?,Pastor Isaac Abban,Aps. Sampson Ofori-Yiadom,Apostle Elvis Okyere,Aps. Dr. Mike George Portuphy,10,4
Who serves in Cuba for COP-USA?,Pastor Daniel Dompreh,Aps. Sampson Ofori-Yiadom,Apostle Elvis Okyere,Aps. Dr. Mike George Portuphy,10,4
Who serves in Guam for COP-USA?,Ovr. Stephen Asare,Aps. Sampson Ofori-Yiadom,Apostle Elvis Okyere,Aps. Dr. Mike George Portuphy,10,2
What preceded the 1953 constitutional crisis?,1962 name adoption,1939 split over divine healing,1957 independence renaming,None of these,10,2
Which event happened first (earliest)?,Gold Coast Apostolic Church founded,Ghana independence; Ghana Apostolic Church,'The Church of Pentecost' adopted,McKeown arrives in Gold Coast,10,4
Pastor Isaac Abban serves in which nation?,Bahamas,Italy,Argentina,Indonesia,10,1
Giving thanks at Lord’s Supper is…,Forbidden,Done silently only,Optional; a citation is read and presented,Loudly with dancing,10,3
Who serves in US Virgin Island for COP-USA?,Pastor Godwin Ampofo,Aps. Sampson Ofori-Yiadom,Apostle Elvis Okyere,Aps. Dr. Mike George Portuphy,10,2
Pastor Godwin Ampofo serves in which nation?,US Virgin Island,Italy,Argentina,Indonesia,10,3
Pastor Vestus Jnr Garry serves in which nation?,Chile,Italy,Argentina,Indonesia,10,2
When did Pastor A.K. Awuah arrive as Resident Missionary?,December 1989,April 1989,February 1991,June 1992,10,3
Which address hosted the first prayer group?,"3487 Fish Ave, Apt 2A","3469 Corsa Ave, Apt 3B",137th St (Harlem),216th & Bronx Blvd,10,1
Elders are to be…,Uninvolved,Only administrators,Approachable but firm and fair,Only preachers,10,3
Who serves in Israel for COP-USA?,Pastor Samuel Asante,Aps. Sampson Ofori-Yiadom,Apostle Elvis Okyere,Aps. Dr. Mike George Portuphy,10,4
Who serves in South Korea for COP-USA?,Pastor Thomas Eduful,Aps. Sampson Ofori-Yiadom,Apostle Elvis Okyere,Aps. Dr. Mike George Portuphy,10,1
Pastor Daniel Dompreh serves in which nation?,Cuba,Italy,Argentina,Indonesia,10,1
Which is TRUE about weddings in COP?,They must be lavish,They are required on Sundays,They should be as simple as possible,They forbid vows,10,3
How many freewill offerings on any Sunday may be taken?,One,Two,Three,No limit,10,2
Ps. Frank Ayisi serves in which nation?,Panama,Italy,Argentina,Indonesia,10,4
Members are to forgive and settle grievances by…,Public campaigns,Gossip,Boycotts,Appropriate church authority,10,4
Which bank received the early group’s account?,Bank of America,Chase Manhattan Bank,Wells Fargo,Citibank,10,2
"Per Good Conduct, who should tithe?",Pastors only,Every believer,Rich members only,Youth only,10,2
Where are church marriages registered?,Church HQ only,Police station,Hospital,Law Courts/Metropolitan/City Council,10,4
